country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Greece,2023,GRC,10242910.0,,2.998,0.293,51.988,-5.621,-9.757,31.682,-5.865,-15.619,3.093,,0.104,5.076,,0.17,6.531,0.638,67.191,6.56,,288.688,4243.417,5254.404,1651.412,0.421,188.246,1386.784,2088.433,26.219,29864.279,,0.003,0.0,9.078,0.886,5.819,5.465,-20.306,-1.982,10.312,1.007,4.002,0.391,32.991,3.221,0.038,0.387,305.897,0.195,0.136,0.074,0.042,0.599,0.234,0.194,0.198,0.002,0.07,0.154,0.334,0.182,0.001,0.116,-0.428,0.269,0.091,0.181,0.001,0.002,0.003,0.0,55.973,59.6,15.202,29.242
Greece,2024,GRC,10047813.0,,2.998,0.298,53.361,1.373,2.64,32.999,1.317,4.156,3.284,,0.103,5.311,,0.166,4.823,0.48,,,,291.686,4296.778,5287.402,1656.235,0.424,200.017,1366.422,2121.811,26.606,31965.838,,0.003,0.0,11.771,1.171,6.033,5.652,-20.362,-2.026,9.912,0.987,3.958,0.394,33.378,3.322,0.039,0.387,321.187,0.204,0.138,0.076,0.031,0.587,0.232,0.192,0.195,0.002,0.072,0.151,0.333,0.179,0.001,0.147,-0.444,0.268,0.091,0.179,0.001,0.002,0.003,0.0,56.787,60.616,,
Hungary,2020,HUN,9749459.0,254563881936.0,0.929,0.095,47.105,-2.054,-4.178,42.103,7.134,20.4,4.319,0.165,0.156,4.832,0.185,0.174,7.511,0.77,60.474,6.203,0.238,89.169,5009.938,5621.848,2614.563,12.716,1009.843,629.139,1260.638,23.009,27727.416,1.062,0.162,0.017,20.554,2.108,5.608,6.137,-5.002,-0.513,9.415,0.966,6.338,0.65,17.463,1.791,0.05,0.487,270.327,0.057,0.134,0.106,0.053,0.205,0.295,0.218,0.332,0.069,0.412,0.071,0.214,0.175,0.041,0.273,-0.111,0.16,0.118,0.197,0.0,0.002,0.003,0.0,59.828,54.676,13.369,28.38
Hungary,2021,HUN,9707848.0,272892486007.0,1.002,0.103,48.326,1.221,2.592,41.262,-0.841,-1.998,4.25,0.151,0.145,4.978,0.177,0.17,6.06,0.624,65.404,6.737,0.24,90.171,5058.264,5663.109,2620.624,12.854,1031.639,622.074,1279.525,23.451,29250.391,1.041,0.138,0.014,21.796,2.245,5.771,6.197,-7.064,-0.728,9.489,0.977,6.319,0.651,18.887,1.946,0.046,0.443,283.958,0.06,0.131,0.099,0.04,0.2,0.292,0.216,0.326,0.068,0.408,0.07,0.213,0.173,0.034,0.277,-0.152,0.164,0.101,0.195,0.0,0.003,0.003,0.0,60.163,56.025,17.078,35.338
Hungary,2022,HUN,9684308.0,285385229433.0,0.815,0.084,45.267,-3.059,-6.33,35.86,-5.402,-13.093,3.703,0.126,0.134,4.674,0.159,0.17,5.559,0.574,62.643,6.469,0.22,90.985,5103.532,5698.969,2626.183,12.989,1050.369,612.666,1299.172,23.834,27575.229,0.936,0.135,0.014,18.73,1.934,5.462,5.589,-9.408,-0.971,9.355,0.966,5.341,0.551,19.647,2.029,0.039,0.382,267.047,0.052,0.121,0.085,0.036,0.195,0.288,0.214,0.321,0.067,0.403,0.068,0.212,0.17,0.034,0.241,-0.197,0.165,0.089,0.193,0.0,0.003,0.003,0.0,54.129,52.891,17.376,38.385
Hungary,2023,HUN,9686465.0,,0.544,0.056,40.344,-4.923,-10.876,30.118,-5.741,-16.011,3.109,,0.118,4.165,,0.158,4.315,0.446,56.728,5.856,,91.529,5143.875,5729.087,2630.498,13.135,1067.058,602.441,1317.556,24.1,26357.766,,0.146,0.015,16.689,1.723,4.958,5.023,-10.226,-1.056,9.429,0.973,5.752,0.594,18.384,1.898,0.027,0.266,255.314,0.035,0.106,0.07,0.028,0.19,0.284,0.212,0.315,0.067,0.397,0.067,0.211,0.167,0.035,0.214,-0.215,0.15,0.063,0.192,0.0,0.003,0.003,0.0,48.654,48.03,16.384,40.611
Hungary,2024,HUN,9676135.0,,0.544,0.056,40.017,-0.327,-0.809,29.271,-0.847,-2.812,3.025,,0.112,4.136,,0.153,3.611,0.373,,,,92.073,5183.893,5758.358,2634.109,13.28,1083.865,591.695,1336.199,24.366,26952.049,,0.146,0.015,16.807,1.737,4.939,4.91,-10.746,-1.111,9.494,0.981,5.427,0.561,18.643,1.927,0.028,0.266,260.792,0.037,0.104,0.068,0.023,0.185,0.28,0.209,0.31,0.066,0.392,0.065,0.209,0.164,0.035,0.21,-0.234,0.149,0.063,0.19,0.0,0.003,0.003,0.0,47.507,47.788,,
Ireland,2020,IRL,4982602.0,274762344680.0,1.77,0.355,35.053,-2.147,-5.772,35.92,-5.512,-13.304,7.209,0.131,0.203,7.035,0.128,0.199,3.757,0.754,39.791,7.986,0.145,71.714,2225.398,2402.608,877.678,0.103,294.297,223.271,962.021,19.585,35439.918,0.643,0.0,0.0,10.954,2.198,7.624,12.626,0.868,0.174,17.725,3.557,9.022,1.811,18.003,3.613,0.114,0.568,176.583,0.109,0.1,0.091,0.026,0.165,0.131,0.093,0.111,0.001,0.12,0.025,0.163,0.149,0.0,0.146,0.019,0.165,0.137,0.065,-0.001,0.001,0.001,0.0,62.909,37.986,4.738,13.517
Ireland,2021,IRL,5028428.0,287639621097.0,2.103,0.418,37.474,2.421,6.907,39.284,3.364,9.366,7.812,0.137,0.218,7.452,0.13,0.208,4.929,0.98,42.001,8.353,0.146,73.817,2262.871,2441.892,882.607,0.103,304.737,225.081,981.236,20.37,35772.973,0.625,0.0,0.0,10.44,2.076,7.997,13.177,1.811,0.36,17.97,3.574,9.148,1.819,19.215,3.821,0.156,0.786,179.882,0.126,0.102,0.095,0.033,0.164,0.13,0.093,0.11,0.001,0.12,0.025,0.163,0.15,0.0,0.133,0.039,0.167,0.18,0.065,-0.001,0.001,0.001,0.0,66.257,40.211,4.528,12.083
Ireland,2022,IRL,5110015.0,308390920561.0,1.957,0.383,36.676,-0.798,-2.13,37.384,-1.901,-4.838,7.316,0.121,0.201,7.177,0.119,0.197,4.036,0.79,42.913,8.398,0.139,75.773,2299.547,2479.276,886.644,0.103,315.498,225.789,1000.387,21.142,36487.48,0.605,0.0,0.0,10.76,2.106,7.706,12.538,0.708,0.139,17.738,3.471,8.805,1.723,19.15,3.748,0.151,0.772,186.452,0.124,0.098,0.088,0.026,0.162,0.13,0.093,0.108,0.001,0.121,0.025,0.163,0.151,0.0,0.139,0.015,0.161,0.181,0.065,-0.001,0.001,0.001,0.0,64.07,39.378,6.237,17.006
Ireland,2023,IRL,5196629.0,,1.835,0.353,33.568,-3.108,-8.474,33.696,-3.688,-9.864,6.484,,0.187,6.46,,0.186,2.685,0.517,40.834,7.858,,77.608,2333.115,2512.972,889.329,0.103,325.494,225.918,1018.845,21.735,34725.469,,0.0,0.0,9.996,1.924,6.948,11.647,0.128,0.025,17.542,3.376,8.755,1.685,18.458,3.552,0.114,0.593,180.455,0.119,0.088,0.079,0.017,0.161,0.129,0.093,0.107,0.001,0.121,0.025,0.163,0.15,0.0,0.128,0.003,0.15,0.139,0.065,-0.001,0.001,0.001,0.0,60.524,36.106,7.266,21.645
Ireland,2024,IRL,5255016.0,,1.835,0.349,33.311,-0.257,-0.767,32.975,-0.721,-2.14,6.275,,0.181,6.339,,0.183,1.947,0.371,,,,79.444,2366.426,2545.947,891.276,0.104,335.774,225.582,1037.5,22.328,34593.98,,0.0,0.0,10.28,1.956,6.79,11.457,-0.336,-0.064,17.634,3.356,8.668,1.649,18.655,3.55,0.113,0.593,181.792,0.125,0.086,0.076,0.012,0.16,0.128,0.093,0.105,0.001,0.121,0.025,0.163,0.15,0.0,0.128,-0.007,0.15,0.14,0.064,-0.001,0.001,0.001,0.0,60.206,35.679,,
Italy,2020,ITA,59912763.0,1925751927111.0,7.059,0.118,302.6,-37.038,-10.905,274.019,-42.721,-13.488,4.574,0.142,0.165,5.051,0.157,0.182,22.119,0.369,402.237,6.714,0.209,942.057,24715.68,24882.057,4709.639,93.803,5356.946,442.501,13464.721,148.514,27764.078,0.864,2.112,0.035,140.818,2.35,5.49,5.864,-28.581,-0.477,44.653,0.745,15.391,0.257,127.568,2.129,0.049,2.923,1663.423,0.435,0.861,0.691,0.155,2.169,1.456,0.964,0.598,0.507,2.185,0.05,2.283,1.129,0.528,1.872,-0.633,1.167,0.706,0.904,0.002,0.011,0.014,0.001,351.307,328.9,99.637,32.927
Italy,2021,ITA,59729353.0,2060299944789.0,7.919,0.133,335.93,33.33,11.015,338.349,64.33,23.476,5.665,0.164,0.19,5.624,0.163,0.188,24.57,0.411,451.809,7.564,0.219,949.976,25051.609,25220.408,4734.209,95.619,5509.271,444.919,13610.624,151.911,29887.174,0.866,1.816,0.03,152.325,2.55,6.066,6.667,2.418,0.04,44.086,0.738,15.616,0.261,145.904,2.443,0.057,3.397,1785.142,0.475,0.911,0.815,0.164,2.106,1.444,0.961,0.59,0.506,2.178,0.05,2.263,1.118,0.451,1.933,0.052,1.267,0.778,0.899,0.002,0.011,0.014,0.001,398.232,362.34,115.878,34.495
Italy,2022,ITA,59619106.0,2136009300257.0,7.093,0.119,340.115,4.184,1.246,330.007,-8.342,-2.465,5.535,0.154,0.188,5.705,0.159,0.194,31.341,0.526,461.801,7.746,0.216,957.069,25391.725,25550.414,4765.551,97.418,5646.821,434.811,13769.769,155.096,29444.67,0.822,1.799,0.03,137.55,2.307,6.131,6.676,-10.108,-0.17,42.624,0.715,15.449,0.259,159.145,2.669,0.053,3.185,1755.465,0.449,0.906,0.78,0.203,2.05,1.433,0.959,0.582,0.504,2.166,0.048,2.245,1.106,0.451,1.773,-0.211,1.336,0.745,0.894,0.002,0.012,0.015,0.001,398.012,365.54,121.687,35.778
Italy,2023,ITA,59499452.0,,6.746,0.113,312.291,-27.824,-8.181,300.314,-29.693,-8.998,5.047,,0.179,5.249,,0.186,21.669,0.364,429.008,7.21,,963.815,25704.014,25850.727,4787.219,99.159,5771.282,422.834,13924.423,158.117,28246.553,,1.741,0.029,124.461,2.092,5.659,6.179,-11.977,-0.201,41.714,0.701,15.341,0.258,154.654,2.599,0.051,3.021,1680.654,0.438,0.82,0.701,0.139,1.999,1.42,0.954,0.574,0.503,2.149,0.047,2.226,1.095,0.423,1.595,-0.252,1.26,0.711,0.888,0.002,0.012,0.015,0.001,367.675,336.718,116.717,37.375
Italy,2024,ITA,59342870.0,,6.746,0.114,301.93,-10.361,-3.318,289.582,-10.731,-3.573,4.88,,0.171,5.088,,0.178,11.294,0.19,,,,970.561,26005.943,26140.309,4798.514,100.899,5896.049,410.487,14078.785,161.137,28584.518,,1.741,0.029,124.767,2.102,5.488,5.999,-12.347,-0.208,40.757,0.687,15.218,0.256,154.362,2.601,0.051,3.021,1696.287,0.458,0.782,0.671,0.071,1.953,1.406,0.95,0.565,0.501,2.132,0.045,2.207,1.084,0.419,1.558,-0.269,1.238,0.712,0.882,0.002,0.012,0.015,0.001,355.972,325.695,,
Netherlands,2020,NLD,17636732.0,802861622095.0,0.0,0.0,136.974,-15.753,-10.314,142.274,-15.807,-9.999,8.067,0.177,0.144,7.766,0.171,0.138,19.402,1.1,146.852,8.326,0.183,56.438,11762.513,12805.169,3907.859,29.033,3937.589,1056.374,3794.7,36.894,56095.609,1.232,0.931,0.053,73.125,4.146,8.354,9.725,5.3,0.3,19.995,1.134,9.332,0.529,42.415,2.405,0.062,1.101,989.343,0.0,0.39,0.359,0.136,0.13,0.693,0.496,0.496,0.157,1.606,0.119,0.643,0.28,0.233,0.972,0.117,0.388,0.266,0.461,0.001,0.006,0.007,0.001,171.522,147.346,9.878,7.212
Netherlands,2021,NLD,17730565.0,841906706612.0,0.0,0.0,139.886,2.912,2.126,145.157,2.883,2.026,8.187,0.172,0.143,7.89,0.166,0.138,24.983,1.409,159.289,8.984,0.189,56.438,11902.398,12950.326,3932.842,30.156,4007.415,1061.645,3837.495,38.053,57247.258,1.206,1.123,0.063,69.826,3.938,8.478,9.816,5.271,0.297,19.835,1.119,9.265,0.523,42.795,2.414,0.065,1.158,1015.026,0.0,0.379,0.35,0.167,0.125,0.686,0.494,0.49,0.159,1.584,0.119,0.638,0.28,0.279,0.886,0.113,0.372,0.265,0.458,0.001,0.006,0.007,0.001,174.048,150.321,19.403,13.871
Netherlands,2022,NLD,17904421.0,879609110665.0,0.0,0.0,127.503,-12.383,-8.852,132.715,-12.441,-8.571,7.412,0.151,0.139,7.121,0.145,0.134,24.317,1.358,157.379,8.79,0.179,56.438,12029.901,13083.042,3957.159,31.252,4064.541,1066.858,3881.27,39.243,53288.391,1.085,1.096,0.061,57.125,3.191,7.689,8.997,5.212,0.291,19.755,1.103,9.094,0.508,43.775,2.445,0.066,1.19,954.098,0.0,0.34,0.314,0.157,0.121,0.679,0.491,0.484,0.162,1.559,0.119,0.633,0.28,0.275,0.736,0.109,0.367,0.278,0.454,0.001,0.006,0.007,0.001,161.079,137.658,29.876,23.432
Netherlands,2023,NLD,18092526.0,,0.0,0.0,117.016,-10.487,-8.225,122.188,-10.528,-7.933,6.753,,0.13,6.468,,0.124,17.237,0.953,150.148,8.299,,56.438,12146.918,13205.229,3974.396,32.291,4118.229,1072.029,3925.34,40.225,51949.645,,1.039,0.057,53.688,2.967,7.013,8.296,5.171,0.286,19.473,1.076,9.046,0.5,44.07,2.436,0.054,0.982,939.9,0.0,0.307,0.285,0.11,0.117,0.671,0.488,0.477,0.164,1.533,0.119,0.628,0.278,0.253,0.688,0.109,0.359,0.231,0.45,0.001,0.006,0.007,0.001,150.093,126.878,33.132,28.314
Netherlands,2024,NLD,18228740.0,,0.0,0.0,114.785,-2.232,-1.907,119.926,-2.262,-1.851,6.579,,0.129,6.297,,0.124,18.605,1.021,,,,56.438,12261.704,13325.155,3993.001,33.314,4171.897,1077.17,3965.86,41.192,50824.402,,1.023,0.056,53.669,2.944,6.822,8.075,5.141,0.282,19.054,1.045,8.976,0.492,40.521,2.223,0.053,0.967,926.465,0.0,0.297,0.278,0.118,0.114,0.663,0.484,0.47,0.165,1.508,0.119,0.622,0.277,0.246,0.67,0.112,0.325,0.228,0.446,0.001,0.006,0.007,0.001,147.205,124.357,,
Norway,2020,NOR,5379275.0,449485260525.0,0.725,0.135,41.275,-1.591,-3.712,47.842,-1.593,-3.222,8.894,0.106,0.086,7.673,0.092,0.074,3.539,0.658,46.648,8.672,0.104,61.904,2629.352,3644.628,612.724,72.784,457.831,1016.291,1402.186,21.923,103430.57,1.238,0.828,0.154,14.318,2.662,8.966,10.946,6.567,1.221,8.042,1.495,4.162,0.774,21.328,3.965,0.1,0.538,556.381,0.045,0.117,0.121,0.025,0.143,0.155,0.141,0.078,0.393,0.187,0.114,0.238,0.167,0.207,0.19,0.145,0.195,0.13,0.135,0.0,0.002,0.002,0.0,58.882,48.232,5.373,13.018
Norway,2021,NOR,5408082.0,467007972731.0,0.699,0.129,41.058,-0.217,-0.526,48.247,0.405,0.846,8.921,0.103,0.085,7.592,0.088,0.072,3.639,0.673,42.23,7.809,0.09,62.602,2670.41,3692.875,616.363,73.507,471.228,1023.48,1424.257,22.454,105249.945,1.219,0.723,0.134,13.397,2.477,8.926,11.027,7.189,1.329,8.205,1.517,4.302,0.795,22.07,4.081,0.098,0.53,569.2,0.042,0.111,0.116,0.024,0.139,0.154,0.141,0.077,0.389,0.186,0.115,0.237,0.165,0.18,0.17,0.154,0.192,0.121,0.134,0.0,0.002,0.002,0.0,59.637,48.274,1.172,2.855
Norway,2022,NOR,5456796.0,482328451592.0,0.71,0.13,40.833,-0.225,-0.548,48.487,0.24,0.498,8.886,0.101,0.091,7.483,0.085,0.077,3.68,0.674,34.89,6.394,0.072,63.313,2711.243,3741.363,620.042,74.295,484.152,1031.134,1446.421,23.021,97780.367,1.106,0.789,0.144,12.923,2.368,8.791,10.94,7.654,1.403,8.234,1.509,4.165,0.763,22.164,4.062,0.104,0.567,533.568,0.045,0.109,0.115,0.024,0.136,0.153,0.14,0.076,0.385,0.186,0.115,0.236,0.164,0.198,0.167,0.16,0.186,0.133,0.133,0.0,0.002,0.002,0.0,59.696,47.972,-5.943,-14.555
Norway,2023,NOR,5519167.0,,0.594,0.108,38.869,-1.964,-4.81,46.662,-1.825,-3.765,8.455,,0.085,7.043,,0.07,3.752,0.68,38.97,7.061,,63.907,2750.112,3788.025,623.794,75.81,495.573,1038.927,1467.641,23.387,99923.812,,1.515,0.274,11.422,2.069,8.341,10.489,7.793,1.412,8.263,1.497,4.146,0.751,21.22,3.845,0.066,0.366,551.496,0.039,0.102,0.109,0.024,0.133,0.152,0.14,0.075,0.384,0.185,0.115,0.235,0.162,0.368,0.146,0.164,0.173,0.086,0.133,0.0,0.002,0.002,0.0,57.889,46.035,0.101,0.26
Norway,2024,NOR,5576656.0,,0.594,0.107,37.183,-1.686,-4.338,44.926,-1.736,-3.721,8.056,,0.081,6.668,,0.067,3.851,0.691,,,,64.501,2787.295,3832.95,627.646,77.303,505.62,1046.67,1488.479,23.747,99634.312,,1.493,0.268,10.047,1.802,7.979,10.076,7.743,1.388,8.397,1.506,4.177,0.749,20.837,3.737,0.065,0.361,555.626,0.04,0.096,0.104,0.024,0.13,0.151,0.139,0.074,0.384,0.183,0.115,0.233,0.16,0.359,0.125,0.169,0.167,0.085,0.132,0.0,0.002,0.002,0.0,56.189,44.496,,
Poland,2020,POL,38171005.0,1098581305284.0,7.691,0.201,302.102,-15.342,-4.833,273.378,-32.244,-10.55,7.162,0.249,0.24,7.914,0.275,0.265,164.196,4.302,288.145,7.549,0.262,415.819,27842.229,28339.254,23017.291,110.728,1185.143,557.184,2969.963,143.284,29845.539,1.037,4.225,0.111,36.731,0.962,8.982,9.522,-28.725,-0.753,46.439,1.217,27.641,0.724,84.235,2.207,0.132,5.024,1139.234,0.474,0.859,0.689,1.151,0.957,1.64,1.098,2.921,0.598,0.483,0.063,0.504,1.089,1.056,0.488,-0.636,0.771,1.214,1.098,0.003,0.013,0.017,0.001,363.455,342.85,-13.958,-4.62
Poland,2021,POL,38040303.0,1173809548862.0,7.366,0.194,330.694,28.591,9.464,299.046,25.668,9.389,7.861,0.255,0.244,8.693,0.282,0.27,184.114,4.84,314.145,8.258,0.268,423.184,28172.92,28638.301,23201.404,115.011,1224.877,525.537,3059.673,148.771,32196.334,1.043,4.283,0.113,39.734,1.045,9.812,10.352,-31.648,-0.832,47.204,1.241,28.158,0.74,89.709,2.358,0.144,5.488,1224.758,0.442,0.897,0.72,1.23,0.938,1.624,1.092,2.89,0.608,0.484,0.059,0.509,1.094,1.065,0.504,-0.68,0.779,1.257,1.089,0.003,0.014,0.017,0.001,393.791,373.258,-16.549,-5.004
Poland,2022,POL,38385734.0,1231021338216.0,7.663,0.2,314.892,-15.802,-4.778,283.966,-15.08,-5.043,7.398,0.231,0.239,8.203,0.256,0.265,172.493,4.494,299.56,7.804,0.243,430.847,28487.812,28922.266,23373.898,119.067,1259.171,494.611,3150.642,154.188,30919.512,0.964,4.056,0.106,34.294,0.893,9.282,9.798,-30.926,-0.806,46.473,1.211,27.958,0.728,90.97,2.37,0.141,5.417,1186.868,0.485,0.839,0.671,1.117,0.923,1.607,1.085,2.856,0.616,0.483,0.055,0.514,1.1,1.017,0.442,-0.646,0.763,1.268,1.079,0.003,0.014,0.018,0.001,376.121,356.312,-15.332,-4.869
Poland,2023,POL,38762847.0,,6.602,0.17,283.243,-31.649,-10.051,253.28,-30.686,-10.806,6.534,,0.224,7.307,,0.25,141.924,3.661,273.856,7.065,,437.449,28771.057,29175.545,23515.822,122.638,1295.051,464.648,3241.339,158.758,29225.926,,3.571,0.092,35.88,0.926,8.304,8.837,-29.963,-0.773,44.729,1.154,26.738,0.69,90.697,2.34,0.118,4.57,1132.88,0.429,0.744,0.591,0.908,0.907,1.589,1.077,2.82,0.622,0.482,0.051,0.518,1.099,0.868,0.46,-0.631,0.739,1.075,1.069,0.003,0.014,0.018,0.001,342.549,321.882,-9.388,-3.314
Poland,2024,POL,38539209.0,,6.681,0.173,272.862,-10.382,-3.665,243.976,-9.304,-3.673,6.331,,0.217,7.08,,0.242,127.311,3.303,,,,444.13,29043.918,29419.521,23643.135,126.209,1333.765,435.762,3333.354,163.328,29205.824,,3.571,0.093,38.714,1.005,8.088,8.624,-28.886,-0.75,44.502,1.155,26.926,0.699,92.015,2.388,0.119,4.57,1125.569,0.454,0.707,0.565,0.805,0.894,1.571,1.069,2.782,0.627,0.482,0.048,0.522,1.098,0.859,0.483,-0.63,0.738,1.077,1.059,0.003,0.014,0.018,0.001,332.347,311.723,,
Portugal,2020,PRT,10370519.0,262724232089.0,2.31,0.223,41.738,-5.845,-12.284,43.705,-7.31,-14.329,4.214,0.166,0.165,4.025,0.159,0.157,2.417,0.233,48.786,4.704,0.186,159.451,2613.432,3030.366,649.915,17.836,211.816,476.002,1549.805,24.609,25577.088,1.01,1.013,0.098,12.012,1.158,4.619,5.573,1.967,0.19,10.36,0.999,3.33,0.321,23.175,2.235,0.078,0.812,265.248,0.142,0.119,0.11,0.017,0.367,0.154,0.117,0.082,0.096,0.086,0.054,0.263,0.187,0.253,0.16,0.044,0.212,0.196,0.124,0.0,0.001,0.002,0.0,57.793,47.898,7.047,16.885
Portugal,2021,PRT,10390957.0,277181288542.0,2.106,0.203,40.3,-1.438,-3.446,41.419,-2.286,-5.23,3.986,0.149,0.155,3.878,0.145,0.151,1.038,0.1,50.407,4.851,0.182,161.557,2653.732,3071.785,650.953,18.781,223.391,477.122,1573.586,25.464,25646.334,0.961,0.945,0.091,11.576,1.114,4.492,5.391,1.119,0.108,10.506,1.011,3.241,0.312,23.781,2.289,0.082,0.855,266.49,0.126,0.109,0.1,0.007,0.358,0.153,0.117,0.081,0.099,0.088,0.053,0.262,0.187,0.235,0.147,0.024,0.207,0.196,0.123,0.0,0.001,0.002,0.0,56.022,46.672,10.108,25.081
Portugal,2022,PRT,10417074.0,295712910456.0,2.229,0.214,40.722,0.423,1.049,43.654,2.234,5.395,4.191,0.148,0.166,3.909,0.138,0.155,0.245,0.024,50.87,4.883,0.172,163.785,2694.454,3115.439,651.197,19.956,234.748,480.053,1598.464,26.304,25206.664,0.888,1.175,0.113,11.357,1.09,4.54,5.58,2.931,0.281,10.552,1.013,2.985,0.287,24.878,2.388,0.081,0.84,262.58,0.141,0.109,0.103,0.002,0.351,0.152,0.117,0.08,0.103,0.09,0.053,0.261,0.188,0.294,0.146,0.061,0.209,0.197,0.122,0.0,0.001,0.002,0.0,58.127,47.296,10.148,24.919
Portugal,2023,PRT,10430735.0,,2.076,0.199,37.622,-3.1,-7.614,41.293,-2.361,-5.408,3.959,,0.155,3.607,,0.141,0.133,0.013,47.46,4.55,,165.862,2732.076,3156.732,651.33,20.979,243.171,483.723,1623.728,27.006,25498.699,,1.024,0.098,8.422,0.807,4.243,5.362,3.671,0.352,10.717,1.027,2.918,0.28,25.265,2.422,0.067,0.702,265.97,0.135,0.099,0.096,0.001,0.344,0.151,0.117,0.078,0.106,0.091,0.054,0.26,0.187,0.249,0.108,0.077,0.206,0.165,0.122,0.0,0.001,0.002,0.0,55.93,44.259,9.838,26.149
Portugal,2024,PRT,10425291.0,,2.076,0.199,35.539,-2.083,-5.537,39.658,-1.635,-3.96,3.804,,0.147,3.409,,0.132,0.16,0.015,,,,167.938,2767.615,3196.389,651.49,22.003,250.095,487.842,1648.381,27.708,25921.791,,1.024,0.098,6.925,0.664,4.063,5.198,4.119,0.395,10.832,1.039,2.789,0.268,24.653,2.365,0.067,0.702,270.242,0.141,0.092,0.092,0.001,0.338,0.15,0.116,0.077,0.109,0.09,0.054,0.258,0.186,0.246,0.086,0.09,0.198,0.165,0.121,0.0,0.001,0.002,0.0,54.189,42.362,,
Romania,2020,ROU,19392467.0,483499378450.0,3.905,0.201,73.946,-2.744,-3.578,68.031,0.276,0.408,3.508,0.141,0.184,3.813,0.153,0.2,14.298,0.737,80.982,4.176,0.167,254.551,8574.659,11641.651,2574.447,31.163,2912.406,3252.493,2765.943,36.151,19053.199,0.764,0.794,0.041,25.009,1.29,4.675,5.42,-5.916,-0.305,21.745,1.121,10.33,0.533,29.063,1.499,0.045,0.877,369.489,0.24,0.21,0.171,0.1,0.586,0.505,0.451,0.327,0.168,1.188,0.366,0.469,0.275,0.199,0.333,-0.131,0.266,0.212,0.388,0.001,0.005,0.006,0.0,105.114,90.651,7.036,9.514
Romania,2021,ROU,19248159.0,505119539256.0,3.962,0.206,77.501,3.555,4.807,60.703,-7.328,-10.771,3.154,0.12,0.156,4.026,0.153,0.199,15.53,0.807,85.949,4.465,0.17,258.513,8652.161,11702.354,2589.977,31.916,2937.677,3235.695,2796.914,37.165,20261.834,0.772,0.753,0.039,25.271,1.313,4.921,5.378,-16.798,-0.873,21.998,1.143,11.111,0.577,30.971,1.609,0.053,1.015,390.003,0.238,0.21,0.146,0.104,0.573,0.499,0.446,0.323,0.169,1.161,0.362,0.465,0.273,0.187,0.321,-0.361,0.269,0.232,0.384,0.001,0.005,0.006,0.0,103.508,94.722,8.448,10.9
Romania,2022,ROU,19166776.0,504741667296.0,3.723,0.194,73.186,-4.315,-5.568,54.548,-6.155,-10.14,2.846,0.108,0.151,3.818,0.145,0.203,13.752,0.717,83.556,4.359,0.166,262.236,8725.347,11756.901,2603.729,32.723,2959.288,3217.056,2829.342,38.029,18791.148,0.714,0.808,0.042,21.612,1.128,4.706,5.054,-18.638,-0.972,21.975,1.147,10.196,0.532,32.428,1.692,0.045,0.864,360.166,0.236,0.195,0.129,0.089,0.562,0.492,0.441,0.318,0.169,1.135,0.358,0.461,0.271,0.202,0.279,-0.389,0.272,0.202,0.381,0.001,0.005,0.006,0.0,96.861,90.197,10.37,14.17
Romania,2023,ROU,19118482.0,,3.721,0.195,67.866,-5.32,-7.269,47.786,-6.762,-12.397,2.499,,0.133,3.55,,0.189,9.754,0.51,78.251,4.093,,265.957,8793.213,11804.688,2613.483,33.519,2979.438,3196.976,2862.151,38.664,18796.941,,0.796,0.042,20.15,1.054,4.431,4.753,-20.08,-1.05,21.966,1.149,10.287,0.538,32.81,1.716,0.033,0.635,359.369,0.242,0.178,0.112,0.062,0.552,0.486,0.436,0.313,0.17,1.109,0.354,0.458,0.268,0.193,0.258,-0.423,0.267,0.149,0.377,0.001,0.005,0.006,0.0,90.866,84.719,10.385,15.303
